NUXE Fondant Body Scrub (200ml),https://www.lookfantastic.com/nuxe-fondant-body-scrub-200ml/10556097.html,Exfoliator,"['glycerin', 'hydrogenated cocos nucifera fruit extract', 'cetearyl alcohol', 'citrus aurantium dulcis', 'juglans regia (walnut) shell powder', 'litchi chinensis seed powder', 'coco-caprylate', 'cocos nucifera fruit extract', 'coco-glucoside', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate', 'sodium stearoyl lactylate', 'glyceryl oleate', 'benzyl alcohol', 'tocopherol', 'parfum', 'capryloyl glycine', 'citric acid', 'sodium hydroxide', 'xanthan gum', 'polysorbate 60', 'sorbitan isostearate', 'tetrasodium edta', '1,2-hexanediol', 'caprylyl glycol', 'dehydroacetic acid', 'citrus aurantium dulcis', 'prunus amygdalus dulcis', 'tropolone', 'hydrogenated palm glycerides citrate']",£18.50
DHC Facial Scrub (100g),https://www.lookfantastic.com/dhc-facial-scrub-100g/11207541.html,Exfoliator,"['stearic acid', 'butylene glycol', 'prunus armeniaca fruit extract', 'pentylene glycol', 'potassium cocoate', 'glyceryl stearate se', 'potassium hydroxide', 'phenoxyethanol', 'urea', 'allantoin', 'sapindus mukurossi fruit extract', 'dipotassium glycyrrhizate', 'chlorhexidine digluconate']",£16.00
L'Oréal Paris Smooth Sugar Wake-Up Coffee Face and Lip Scrub 50ml,https://www.lookfantastic.com/l-oreal-paris-smooth-sugar-wake-up-coffee-face-and-lip-scrub-50ml/12004590.html,Exfoliator,"['glycerin', 'propanediol', 'sucrose', 'coffea arabica seed extract', 'prunus amygdalus dulcis', 'cocos nucifera fruit extract', 'triethanolamine', 'acrylates/c10-30 alkyl', 'crosspolymer', 'caramel', 'peg-30 dipolyhydroxystearate', 'saccharide hydrolysate', 'trideceth-6', 'parfum']",£9.99
Oh K! Chok Chok Shimmer Face Scrub,https://www.lookfantastic.com/oh-k-chok-chok-shimmer-face-scrub/12434718.html,Exfoliator,"['butylene glycol', '1,2-hexanediol', 'simmondsia chinensis leaf extract', 'glycerin', 'ethylhexyl palmitate', 'carbomer', 'tromethamine', 'cellulose acetate', 'cetyl ethylhexanoate', 'microcrystalline wax', 'allantoin', 'panthenol', 'polyglyceryl-10 oleate', 'trehalose', 'ethylhexyl glycerin', 'triacetin', 'disodium edta', 'hydrogenated lecithin', 'polyurethane-33', 'ruby extract', 'phenoxyethanol', 'citrine extract', 'ci 15850', 'ci 19140', 'acrylates copolymer', 'silica', 'cyanocobalamin', 'ci 77000 (aluminum powder)', 'amethyst']",£10.00
Holika Holika Pig Nose Clear Blackhead Cleansing Sugar Scrub,https://www.lookfantastic.com/holika-holika-pig-nose-clear-blackhead-cleansing-sugar-scrub/11693565.html,Exfoliator,"['sucrose', 'petrolatum', 'peg-7 glyceryl cocoate', 'glycerin', 'microcrystalline wax', 'isododecane', 'paraffinum liquidum', 'sorbitol', 'sorbitan sesquioleate', 'polyethylene', 'cetyl alcohol', 'trihydroxystearin', 'peg-23 stearate', 'ceteareth 20', 'oleth-5', 'dystearmonium hectorite', 'polysorbate-20 ', 'phenoxyethanol', 'methylparaben', 'parfum', 'propylene carbonate', 'moroccan lava clay', 'kaolin', 'aloe barbadenis extract', 'citrus limon juice extract', 'potassium sorbate', 'sodium benzoate', 'butyl paraben', 'ethylparaben', 'isobutyl paraben', 'propylparaben']",£9.95
MAC Mineralize Volcanic Ash Exfoliator,https://www.lookfantastic.com/mac-mineralize-volcanic-ash-exfoliator/11471925.html,Exfoliator,"['sucrose', 'sodium lauroyl', 'disodium coco-glucoside sulfosuccinate', 'lauramidopropyl betaine', 'volcanic ash', 'methyl gluceth-20', 'peg-7 glyceryl cocoate', 'ethylhexyl glycerin', 'caprylyl glycol', 'hexylene glycol', 'sodium cocoyl glutamate', 'parfum', 'phenoxyethanol', 'ci 77491', 'ci 77492', 'ci 77499']",£23.00
L'Oréal Paris Smooth Sugars Nourishing Sugar Scrub 50ml,https://www.lookfantastic.com/l-oreal-paris-smooth-sugars-nourishing-sugar-scrub-50ml/11740146.html,Exfoliator,"['isopropyl palmitate', 'sucrose', 'c10-18 triglycerides', 'synthetic wax', 'glyceryl stearate', 'trihydroxystearin', 'glycine soja extract', 'peg-7 glyceryl cocoate', 'perlite', 'prunus armeniaca fruit extract', 'cera alba', 'rosmarinus officinalis extract', 'theobroma grandiflorum seed powder', 'saccharide hydrolysate', 'glycerin', 'helianthus annuus seed oil', 'silica silylate', 'cocos nucifera fruit extract', 'theobroma cacao extract', 'caprylyl glycol', 'tocopherol', 'pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', 'phenoxyethanol', 'ci 77491', 'ci 77492', 'ci 77499', 'caramel', 'linalool', 'coumarin', 'limonene', 'parfum']",£7.99
Natio Dual Action Cleanser And Exfoliator (100g),https://www.lookfantastic.com/natio-dual-action-cleanser-and-exfoliator-75g/10562426.html,Exfoliator,"['ammonium lauryl sulfate', 'cocamidopropyl betaine', 'cellulose acetate', 'glycerin', 'cetearyl alcohol', 'decyl glucoside', 'ceteareth 20', 'glycol stearate', 'vaccinium myrtillus extract', 'saccharum officinarum extract', 'acer saccharum extract', 'citrus aurantium dulcis', 'citrus limon juice extract', 'acrylates/c10-30 alkyl', 'tetrasodium edta', 'rosa canina flower oil', 'triethanolamine', 'phenoxyethanol', 'caprylyl glycol', 'citrus aurantium dulcis', 'rosmarinus officinalis extract', 'parfum', 'cedrus atlantica bark oil']",£12.00
Polaar Arctic Cotton Gentle Scrub 50ml,https://www.lookfantastic.com/polaar-arctic-cotton-gentle-scrub-50ml/10934968.html,Exfoliator,"['dicaprylyl carbonate', 'capric triglyceride', 'glycerin', 'cetearyl alcohol', 'glyceryl stearate', 'peg-100 stearate', 'silica', 'dimethicon', 'pumice', 'simmondsia chinensis leaf extract', 'parfum', 'simmondsia chinensis leaf extract', 'benzyl alcohol', 'acrylates/c10-30 alkyl', 'eriophorium spissum flower/stem extract', 'allantoin', 'dehydroacetic acid', 'tocopheryl acetate', 'sodium hydroxide', 'limonene', 'linalool']",£25.00
Löwengrip Purify my Skin Facial Scrub 75ml,https://www.lookfantastic.com/lowengrip-purify-my-skin-facial-scrub-75ml/12081481.html,Exfoliator,"['propylene glycol', 'silica', 'glycerin', 'acrylates/steareth-20 methacrylate crosspolymer', 'peg-7 glyceryl cocoate', 'propanediol', 'cellulose acetate', 'phenoxyethanol', 'castor oil', 'caprylyl glycol', 'polyquaternium-7', 'sodium hydroxide', 'caprylhydroxamic acid', 'allantoin', 'sodium benzoate', 'niacinamide', 'sodium starch octenylsuccinate', 'maltodextrin', 'calcium pantothenate', 'sodium ascorbyl phosphate', 'tocopheryl acetate', 'pyridoxine hcl', 'parfum']",£18.00
